,호텔명,가격,평점
0,라마다 제주시티 호텔,"69,160",9.3
1,베스트웨스턴 제주,"57,000",9.7
2,랜딩관 제주신화월드 호텔앤리조트,"103,550",9.1
3,금호 제주 리조트,"142,775",9.1
4,그랜드 하얏트 제주,"280,060",9.7
5,롯데 호텔 제주,"278,662",9.7
6,휘닉스 제주 섭지코지,"275,500",9.5
7,브릿지 레지던스 호텔,"34,675",9.8
8,라마다 바이 윈덤 제주 더 함덕 호텔,"71,630",9.1
9,제주 신라 호텔,"344,850",9.8
10,휘슬락 호텔,"66,500",9.4
11,신라스테이 제주,"119,130",9.3
12,서머셋 제주신화월드,"293,550",9.1
13,호텔 브릿지 서귀포,"55,100",9.2
14,메종 글래드 제주,"107,540",9.5
15,제주 부영호텔&리조트,"110,770",9.5
16,신화관 제주신화월드 호텔앤리조트,"170,050",8.6
17,해비치 호텔&리조트,"229,900",9.6
18,제주 한림리조트,"85,500",10
19,호텔 리젠트마린,"76,000",9.5
20,파르나스 호텔 제주,"327,560",10
21,글로스터 호텔 제주,"64,600",9.4
22,브라운 스위트 제주,"58,330",8.9
23,롯데 시티호텔 제주,"131,670",9.7
24,서귀포 칼 호텔,"135,850",9.5
25,유탑유블레스호텔 제주함덕,"98,800",9.7
26,오션 스위츠 제주 호텔,"80,750",9.7
27,더 포 그레이스 리조트,"54,720",8.9
28,제주 항공우주 호텔,"71,250",8.7
29,파크 선샤인 제주,"80,750",9.1
30,코업시티호텔 하버뷰,"57,000",8.7
31,그랜드 조선 제주,"271,700",9.7
32,호텔 골든데이지 서귀포 오션,"49,400",9.2
33,더 베스트 제주 성산,"52,250",9.3
34,호텔 스카이파크 제주 1호점,"56,050",9.4
35,벤티모 호텔 앤 레지던스 제주,"75,050",10
36,히든 클리프 호텔 앤 네이쳐,"191,520",9.1
37,켄싱턴리조트 서귀포,"169,000",8.7
38,코업시티호텔 성산,"65,550",9.3
39,제주 마레보 리조트,"106,400",9.2
40,와이 리조트 제주,"125,400",9.1
41,라마다 프라자 제주,"133,000",9.6
42,아시아호텔 제주,"65,550",9.4
43,빠레브 호텔 제주,"72,200",9.2
44,씨오르 리조트(구 신성리조트),"87,780",9.5
45,소노벨 제주,"200,450",9.6
46,이스턴호텔 제주,"33,250",9
47,호텔 케니 서귀포,"28,975",9
48,메리어트관 제주신화월드 호텔앤리조트,"242,000",9
49,호텔 시리우스 제주,"85,595",9
50,캠퍼트리 호텔&리조트 제주,"161,500",9.4
51,플레이스 캠프 제주,"56,905",9.2
52,애월 스테이 인 제주,"65,550",9.6
53,호텔샬롬 제주,"61,750",9.5
54,산방산호텔,"75,050",10
55,스위트 호텔 제주,"167,200",9.2
56,스위트 메이 호텔 서귀포,"69,350",8.9
57,퍼스트70 호텔,"57,000",9.5
58,더큐브 리조트 제주,"73,150",8.4
59,제주푸른호텔( 구 체이슨 호텔),"52,250",10
60,타마라 호텔 제주,"27,550",9.4
61,한화리조트 제주,"110,200",8.8
62,탐라스테이 제주,"69,967",9.5
63,WE호텔 제주,"185,250",8.9
64,스타즈호텔 제주 로베로,"41,800",9.6
65,제주 팔레스 호텔,"57,000",9.7
66,담앤루리조트,"95,000",8
67,제주 노블피아 호텔,"65,550",8.8
68,제주 아름다운리조트,"57,000",9.4
69,더 그랜드 섬오름,"125,400",9.3
70,제주 유니 호텔,"105,611",8.5
71,제주 헬스케어타운,"199,500",9
72,제주 호텔 더 엠,"37,905",9.6
73,그라벨 호텔,"90,250",9.1
74,제주 센트럴 시티 호텔,"56,050",9.6
75,블루하와이리조트,"61,750",8.7
76,블루하와이호텔,"51,300",9
77,호텔 윈 스카이,"44,650",8.9
78,씨사이드 아덴 중문,"250,800",9.9
79,서귀포 제이에스(JS) 호텔,"59,090",8.8
80,제주 오리엔탈호텔,"83,600",9.4
81,제주 오션그랜드 호텔,"69,350",9.7
82,신신호텔 제주 월드컵,"35,815",8.4
83,신신호텔 제주 공항점,"49,998",9.5
84,베니키아 호텔 제주,"61,750",8.5
85,제주 블룸호텔,"72,200",10
86,엠제이리조트,"180,500",9.8
87,호텔난타 제주,"76,000",9
88,제주 오션팰리스,"52,250",8.2
89,아스타 호텔,"80,750",9.2
90,흰수염고래 리조트,"52,250",9.1
91,호텔스위트캐슬,"55,955",8.6
92,유어스 호텔,"57,855",9.2
93,신신호텔 제주 천지연,"33,526",8.6
