순위,곡명,가수,앨범,좋아요
1,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),102202
2,After LIKE,IVE (아이브),After LIKE,177161
3,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans',144995
4,Shut Down,BLACKPINK,BORN PINK,89868
5,Attention,NewJeans,NewJeans 1st EP 'New Jeans',171219
6,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour,59646
7,Pink Venom,BLACKPINK,BORN PINK,139989
8,LOVE DIVE,IVE (아이브),LOVE DIVE,206083
9,딱 10CM만,10CM,딱 10CM만,62794
10,Monologue,테이,Monologue,30579
11,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,177974
12,자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES,32278
13,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,116923
14,우린 그렇게 사랑해서,강민경 (다비치),우린 그렇게 사랑해서,36472
15,우리들의 블루스,임영웅,IM HERO,78484
16,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',89263
17,그라데이션,10CM,5.3,107769
18,다시 만날 수 있을까,임영웅,IM HERO,62180
19,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album,97594
20,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집,116885
21,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),161423
22,LAW (Prod. Czaer),윤미래,스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),32850
23,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,183863
24,해요 (2022),#안녕,해요 (2022),46019
25,TOMBOY,(여자)아이들,I NEVER DIE,216744
26,내가 아니라도,주호,내가 아니라도,74727
27,무지개,임영웅,IM HERO,51293
28,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,160339
29,나의 X에게,경서,나의 X에게,126155
30,아버지,임영웅,IM HERO,43666
31,SNEAKERS,ITZY (있지),CHECKMATE,71194
32,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9,123240
33,ELEVEN,IVE (아이브),ELEVEN,161602
34,That's Hilarious,Charlie Puth,CHARLIE,121243
35,A bientot,임영웅,IM HERO,42105
36,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063,74488
37,손이 참 곱던 그대,임영웅,IM HERO,41009
38,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,79454
39,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',52332
40,취중고백,김민석 (멜로망스),취중고백,146389
41,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,236445
42,인생찬가,임영웅,IM HERO,41214
43,사랑해 진짜,임영웅,IM HERO,41718
44,I Don't Think That I Like Her,Charlie Puth,CHARLIE,47242
45,LOVE me,BE'O (비오),LOVE me,119862
46,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),153627
47,POP!,나연 (TWICE),IM NAYEON,85865
48,연애편지,임영웅,IM HERO,40157
49,Love story,볼빨간사춘기,Seoul,94373
50,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album,73567
51,사랑역,임영웅,IM HERO,39705
52,보금자리,임영웅,IM HERO,39399
53,사랑해요 그대를,임영웅,IM HERO,39449
54,Dynamite,방탄소년단,Dynamite (DayTime Version),441524
55,새벽에 걸려온 너의 전화는,한동근,미련을 말하는,33300
56,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),284940
57,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),92190
58,STAY,The Kid LAROI,Stay,237839
59,사랑한다고 말해줘,탑현,사랑한다고 말해줘,45700
60,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,405914
61,통화연결음,보라미유,통화연결음,31172
62,스티커 사진,21학번,스티커 사진,37785
63,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),205725
64,신호등,이무진,신호등,290494
65,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’,141509
66,Girls,aespa,Girls - The 2nd Mini Album,62865
67,Butter,방탄소년단,Butter,278094
68,strawberry moon,아이유,strawberry moon,210342
69,INVU,태연 (TAEYEON),INVU - The 3rd Album,128209
70,DICE,NMIXX,ENTWURF,33618
71,Talk that Talk,TWICE (트와이스),BETWEEN 1&2,36026
72,드라마,아이유,조각집,163263
73,내 손을 잡아,아이유,최고의 사랑 OST Part.4,201860
74,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),28417
75,주저하는 연인들을 위해,잔나비,전설,345394
76,Yet To Come,방탄소년단,Proof,115719
77,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE,50382
78,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST),40400
79,Next Level,aespa,Next Level,252723
80,봄날,방탄소년단,YOU NEVER WALK ALONE,551228
81,Permission to Dance,방탄소년단,Butter / Permission to Dance,213497
82,GANADARA (Feat. 아이유),박재범,GANADARA,124923
83,Off My Face,Justin Bieber,Justice (The Complete Edition),141098
84,진심이었던 사람만 바보가 돼,권진아,진심이었던 사람만 바보가 돼,5737
85,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1,13709
86,너를 생각해,주시크 (Joosiq),너를 생각해,141134
87,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까,84596
88,MY BAG,(여자)아이들,I NEVER DIE,77500
89,Weekend,태연 (TAEYEON),Weekend,186199
90,아무래도 난,주시크 (Joosiq),아무래도 난,76897
91,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY),132799
92,그래서 그대는,이영현,그래서 그대는,4611
93,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,214404
94,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),37811
95,질주 (2 Baddies),NCT 127,질주 (2 Baddies) - The 4th Album,47349
96,못해,김나영,못해 (Re : WIND 4MEN Vol.02),8013
97,Celebrity,아이유,IU 5th Album 'LILAC',326185
98,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,196845
99,인생은 뷰티풀,김호중,인생은 뷰티풀: 비타돌체,14051
100,나의 목소리로,김호중,나의 목소리로,12659
